gene,log2FoldChange
SMU_1840,-4.160559044
SMU_1841,-2.016659587
SMU_1843,-2.512334701
SMU_1844,-1.501187407
SMU_1845,-7.118941073
SMU_1846c,-7.636624621
SMU_1847,-6.546488353
SMU_1848,-2.597226199
SMU_1849,-2.775515969
SMU_185,-2.066769012
SMU_1850,-2.2346265
SMU_1851,-2.97589111
SMU_1852,1
SMU_1853,-0.104108403
SMU_1854,-1.670845803
SMU_1855,-2.420525125
SMU_1856c,-1.283380221
SMU_1858,
SMU_1859,
SMU_186,-4.674848004
SMU_1860,
SMU_1861c,-2.457453065
SMU_1862,-2.332626834
SMU_1865,-1.196244928
SMU_1867c,0.240273941
SMU_1869,-3.094402225
SMU_1870,0.000311614
SMU_1871c,0.18253127
SMU_1872c,-2.703645115
SMU_1873,0.639709371
SMU_1874,-0.800230488
SMU_1875,-2.739561593
SMU_1876,-1.655329311
SMU_1877,6.925121252
SMU_1878,7.318952537
SMU_1879,7.748261529
SMU_187c,-0.585665397
SMU_1881c,2.634040133
SMU_1882c,-1.068384555
SMU_1883,4.115123886
SMU_1884c,-0.343706413
SMU_1886,
SMU_1888,-1.577793815
SMU_1889c,-1.838796269
SMU_188c,-0.911806086
SMU_189,-3.284541679
SMU_1891c,-1.348005741
SMU_1892c,-1.962902388
SMU_1893c,
SMU_1894c,
SMU_1895c,-4.007315695
SMU_1896c,-2.038828791
SMU_1897,-3.098921429
SMU_1898,-2.574142237
SMU_1899,-0.866733469
SMU_1900,-2.306589729
SMU_1902c,-4.129283017
SMU_1903c,-2.795373241
SMU_1904c,-2.252366511
SMU_1905c,-3.365284464
SMU_1906c,-0.958212565
SMU_1907,-3.426264755
SMU_1908c,-3.138837324
SMU_1909c,-3.132481505
SMU_1910c,-2.787793956
SMU_1912c,-3.379172047
SMU_1913c,-2.696517572
SMU_1914c,-2.574354401
SMU_1915,-3.519229535
SMU_1916,-3.063972329
SMU_1917,-3.646418704
SMU_1918,-5.133855747
SMU_1919,-1.758946549
SMU_191c,-2.33818496
SMU_1920,-2.099535674
SMU_1921,-2
SMU_1922,2.584962501
SMU_1923c,-3.652425468
SMU_1924,-4.951284715
SMU_1925c,-0.400785447
SMU_1926,-2.092572588
SMU_1927,-2.09177154
SMU_1928,-1.998214223
SMU_1929,-1.774423991
SMU_1930,-2.256606855
SMU_1931,-1.82493826
SMU_1933c,-1.687753046
SMU_1934c,-2.112834434
SMU_1935c,-3.671512533
SMU_1936c,-3.056299462
SMU_1937,-1.808142348
SMU_1938c,-3.538143595
SMU_1939c,-3.598720425
SMU_193c,-1.673018677
SMU_1940c,-3.084479308
SMU_1941,-3.397914695
SMU_1942c,-2.221865217
SMU_1943,-4.129283017
SMU_1945,-2.639261231
SMU_1946,-2.305586909
SMU_1947,-6.939579214
SMU_1948,
SMU_1949,-7.266172105
